english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
4,1,10.0,Аутсорсингова,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6460.0,2020
6,1,10.0,Аутстафінгова,Київ,Senior,,"Data Science, Machine Learning, Big Data",1,5300.0,2020
6,1,10.0,Продуктова,Київ,Senior,,"Analyst (Business, Data, System)",1,5000.0,2020
5,1,1.0,Аутстафінгова,Київ,Junior,Python,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,1235.0,2020
5,1,10.0,Продуктова,Київ,Architect,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6400.0,2020
5,1,10.0,Аутсорсингова,Львів,Architect,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6400.0,2020
5,1,6.0,Аутсорсингова,Львів,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6400.0,2020
5,1,10.0,Продуктова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
4,1,5.0,Аутстафінгова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
5,1,6.0,Аутстафінгова,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
5,1,10.0,Продуктова,Київ,Senior,Clojure,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
3,1,0.5,Продуктова,Київ,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,400.0,2020
5,1,10.0,Продуктова,Київ,Architect,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
2,1,6.0,Інша,Львів,Middle,,"DevOps, SysAdmin",1,800.0,2020
5,1,10.0,Аутсорсингова,Київ,Architect,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
4,1,10.0,Аутсорсингова,Вінниця,Architect,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
5,1,6.0,Продуктова,Київ,Tech Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
4,1,10.0,Продуктова,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6300.0,2020
6,1,9.0,Продуктова,Київ,Senior,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6200.0,2020
6,1,10.0,Аутстафінгова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6200.0,2020
5,1,10.0,Аутсорсингова,Львів,Senior,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6200.0,2020
5,1,10.0,Аутстафінгова,Київ,Team Lead,,"Data Science, Machine Learning, Big Data",1,5200.0,2020
4,1,9.0,Аутстафінгова,Львів,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6200.0,2020
6,1,10.0,Продуктова,Львів,Team Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6200.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,6000.0,2020
5,1,10.0,Аутсорсингова,Київ,Architect,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6175.0,2020
5,1,6.0,Аутстафінгова,Київ,Team Lead,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6175.0,2020
5,1,10.0,Продуктова,Київ,Tech Lead,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6150.0,2020
6,1,6.0,Продуктова,Київ,Team Lead,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,6150.0,2020
