timestamp,full_time,region,salary,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,total_experience
30/11/2022 10:44,1,Київ,3500,1,30,Вища,Немає,3,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Team Lead,,Gambling,Продуктова,6.0
30/11/2022 10:45,1,Не Україна,,1,39,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Team Lead,PHP,E-commerce,Аутстафінгова,5.0
30/11/2022 10:45,1,Київ,2500,1,28,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,JavaScript,"Media, Real Estate",Аутсорсингова,2.0
30/11/2022 10:45,1,Львів,3700,0,24,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,JavaScript,Logistics,Аутсорсингова,4.0
30/11/2022 10:45,1,Не Україна,,1,27,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,PHP,"E-commerce, Retail",Аутсорсингова,10.0
30/11/2022 10:45,1,Не Україна,,1,31,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Scala,Adtech / Advertising,Аутстафінгова,1.5
30/11/2022 10:46,1,Не Україна,,1,25,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Tech Lead,Java,Fintech / Banking,Аутсорсингова,6.0
30/11/2022 10:46,1,Одеса,2850,1,40,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,Kotlin,"Blockchain, E-commerce, Fintech / Banking",Аутсорсингова,1.5
30/11/2022 10:46,1,Львів,1000,0,25,Дві вищі,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,"E-commerce, Mobile",Аутсорсингова,1.5
30/11/2022 10:46,1,Львів,3200,0,28,Вища,Немає,6,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Middle,,Manufacturing,Аутсорсингова,4.0
30/11/2022 10:46,1,Київ,6150,1,30,Вища,Немає,4,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Java,Adtech / Advertising,Аутсорсингова,8.0
30/11/2022 10:47,1,Одеса,680,0,24,Студент,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,Інша,Продуктова,1.0
30/11/2022 10:47,1,Дніпро,2100,1,23,Вища,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,"Fintech / Banking, Mobile",Аутсорсингова,2.0
30/11/2022 10:47,1,Полтава,2600,1,21,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,Medtech / Healthcare,Продуктова,1.5
30/11/2022 10:47,1,Дніпро,2169,1,35,Вища,Немає,4,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Head,,"E-commerce, Retail",Продуктова,5.0
30/11/2022 10:47,1,Львів,1350,1,21,Студент,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,Ruby,"Legal, Security",Аутсорсингова,1.0
30/11/2022 10:47,1,Львів,7500,1,26,Середня,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Swift,"Big Data, Hardware, Mobile",Аутсорсингова,6.0
